0.02249,0.10525
0.04364,0.21605
0.05951,0.29914
0.07273,0.36562
0.08728,0.43763
0.10051,0.50134
0.11907,0.55394
0.13762,0.60932
0.15088,0.64808
0.17208,0.71176
0.18932,0.75606
0.19992,0.78928
0.21849,0.83080
0.24105,0.87508
0.25830,0.91383
0.27554,0.94981
0.29942,0.99963
0.32202,1.00788
0.34462,1.01614
0.36456,1.01885
0.39913,1.02430
0.43104,1.02975
0.46295,1.03798
0.50017,1.04342
0.52676,1.04889
0.55070,1.04882
0.57862,1.05429
0.59856,1.05700
0.63180,1.05968
0.65973,1.06238
0.69962,1.06504
0.74482,1.07045
0.79934,1.07585
0.83258,1.07852
0.86316,1.08121
0.89774,1.08389
0.92566,1.08381
0.94960,1.08374
0.98550,1.08641
0.99747,1.08638
