REFCODE,SCP,LCD,PLD,Va,Density,ASA,VF,KH311,300,305,310,315,320,325,330,335,340,345,350,353,adsH,dW
OBUFIB_clean.cif,10.08698608,4.72111,3.95518,0.112837,1.56509,319.326,0.293939,0.030502572,-7.795880017,-8.872895202,-9.042392713,-8.886056648,-8.299296283,-9.159893906,-8.679853714,-9.322393047,-8.769551079,-8.709965389,-10.48545225,-7.26520017,56.77368673,0.016840872
LADHEF_clean.cif,20.79895184,6.53094,4.12036,0.343107,1.16057,1181.7,0.561405,2.114654345,-8.455931956,-8.591760035,-8.679853714,-8.420216403,-8.435333936,-8.226213555,-8.274088368,-7.93930216,-8.723538196,-9.199282922,-8.266000713,-7.427128398,56.75064289,0.028794929
IBICAZ_clean.cif,23.79844066,10.27265,10.18844,0.322857,1.0723,927.504,0.427552,-1.240472663,-6.978810701,-8.987162775,-8.595166283,-7.896196279,-7.754487332,-8.987162775,-7.886056648,-8.567030709,-8.769551079,-9.244125144,-9.042871802,-8.863279433,56.73219371,0.051855642
HOWPUF_clean.cif,41.35504616,7.89006,5.58107,0.524024,0.971712,1929.06,0.647492,1.165354147,-8.946921557,-8.384049948,-6.732828272,-8.117475462,-8.560667306,-7.739928612,-8.22184875,-8.879426069,-8.70333481,-8.970616222,-8.821023053,-8.684029655,56.72597677,0.053630364
SEQTEP_clean.cif,28.99230209,7.43547,5.31542,0.347061,0.967552,1246.39,0.509722,1.577397578,-8.48945499,-8.931814138,-8.57024772,-8.754487332,-8.690369833,-8.696803943,-9.005243055,-8.8569852,-8.829738285,-8.645891561,-10.88941029,-9.149353765,56.70896192,0.038409727
GEDDEA_clean.cif,22.58633943,10.1359,3.81582,0.300799,1.29721,1079.16,0.511923,0.470525151,-6.863279433,-7.527243551,-8.508638306,-8.090443971,-7.090979146,-7.552841969,-7.924453039,-8.537602002,-8.59345982,-8.337242168,-8.32330639,-7.684029655,56.58689011,0.036190663
GIQXEK_clean.cif,20.46970596,4.73412,3.46816,0.201446,1.70666,577.191,0.469279,11.39093511,-8.142667504,-7.067526235,-6.906578315,-9.363512104,-8.793174124,-8.935542011,-9.008773924,-8.754487332,-8.876148359,-8.534617149,-8.860120914,-8.723538196,56.57044713,0.017599095
IXISAJ_clean.cif,18.63095973,5.70852,4.41794,0.194629,1.67395,591.513,0.480758,-0.953278578,-6.580044252,-7.57024772,-6.821023053,-7.355561411,-8.123205024,-7.071604148,-8.26520017,-7.924453039,-7.935542011,-7.882728704,-7.283996656,-7.694648631,56.51744621,0.016466687
UKAPUS_clean.cif,23.28317625,7.00698,4.79973,0.376238,1.13705,1269.72,0.59429,0.218572264,-8.752026734,-8.332547047,-9.071604148,-8.886056648,-8.338187314,-8.035269079,-8.779891912,-9.565431096,-8.055024092,-8.605548319,-10.4436975,-9.149353765,56.5146277,0.04247938
HAWWOT_clean.cif,45.11957738,6.70265,6.09046,0.550653,1.0177,2193.87,0.699581,4.501045562,-8.514278574,-8.134896025,-7.4225082,-7.410050399,-7.4225082,-7.860120914,-7.642065153,-7.866461092,-8.334419009,-7.728158393,-7.974694135,-8.76700389,56.51010866,0.053656625
CIGDUT_clean.cif,15.87841473,4.90244,3.61801,0.020504,1.73625,83.471,0.379784,11.49136169,-7.974694135,-8.987162775,-7.321481621,-8.229884705,-8.286509457,-8,-8.728158393,-7.504455662,-8.723538196,-8.943095149,-8.059483515,-8.89279003,56.50642811,0.018448128
CAYSOK_clean.cif,3.778814155,7.15801,5.08846,0.139277,1.15597,529.492,0.247776,-2.973221671,-8.555955204,-8.772113295,-7.214670165,-8.485452247,-7.308034897,-7.696803943,-7.448550002,-7.638272164,-8.038104526,-7.465973894,-8.928117993,-9.628932138,56.45860881,0.026546247
HEKTAU_clean.cif,25.83306825,4.7841,3.62929,0.261976,1.11842,1020.61,0.543076,-1.231744572,-8.210419288,-8.701146924,-8.131943638,-9.171984936,-8.380906669,-6.66756154,-8.761953897,-8.500312917,-8.806875402,-8.478861916,-8.995678626,-8.341035157,56.45831947,0.049616838
ECODIK_clean.cif,30.18827539,4.5796,3.93176,0.31105,1.19981,1115.34,0.563841,-0.620573006,-8.018634491,-7.718966633,-7.872895202,-8.91721463,-8.104025268,-8.671620397,-7.416801226,-8.271646218,-7.899629455,-8.549750892,-8.14691047,-7.412289035,56.45419754,0.046464977
COWMUX_clean.cif,16.39395964,6.83761,5.38008,0.420195,1.25989,1496.77,0.630365,7.472756449,-7.89279003,-6.399027104,-8.872895202,-8.4225082,-7.354577731,-8.841637508,-7.876148359,-8.341988603,-8.4710833,-8.129011186,-6.896196279,-8.850780887,56.44128801,0.034994833
JAVWUY_clean.cif,64.42705108,5.55,3.87032,0.302871,1.114,951.774,0.480717,-1.928302055,-7.478861916,-8.300162274,-7.995678626,-7.643974143,-7.924453039,-8.209714836,-8.659555885,-8.222573178,-8.93930216,-8.841637508,-8.19859629,-8.614393726,56.4053719,0.075665789
OWETIU_clean.cif,5.20799185,6.91088,3.64513,0.0565509,3.31737,243.395,0.333153,-0.85836526,-8.645891561,-7.274905479,-7.425968732,-8.238824187,-7.872895202,-7.8569852,-7.147520006,-7.616184634,-7.714442691,-7.815308569,-9.581698709,-8.139661993,56.39415632,0.007750392
KEWZOD_clean.cif,43.08982148,8.5607,4.39375,0.608382,0.841576,2223.84,0.670971,-1.325011252,-7.22184875,-6.93930216,-8.187755303,-6.329754147,-8.505845406,-7.982966661,-7.673664139,-6.978810701,-8.790484985,-8.191789027,-8.721246399,-8.88941029,56.36179118,0.048375156
PEJFOA_clean.cif,18.75273825,4.3997,3.71965,0.0568128,2.21077,221.291,0.450011,2.48945221,-9.089375595,-8.57024772,-8.501689446,-8.903089987,-8.804100348,-7.787812396,-7.328827157,-8.48945499,-9.049148541,-9.164943898,-9.787812396,-8.869666232,56.3233717,0.020349506
IBITUK_clean.cif,25.4562932,4.93061,3.86978,0.177698,1.17728,585.947,0.327287,0.334041378,-8.756961951,-8.256490235,-9.016373713,-8.943095149,-8.069560405,-9.046723663,-8.380906669,-8.903089987,-8.742321425,-7.586700236,-7.850780887,-9.084072788,56.29837862,0.029729075
YEYFEP_clean.cif,28.97333181,7.16907,3.91857,0.41018,1.19557,1626.41,0.649133,2.628053627,-6.645891561,-7.673664139,-7.554395797,-7.899629455,-6.356547324,-8,-8.557520231,-8.468521083,-7.70333481,-8.280668713,-10.16367588,-8.42945706,56.28423716,0.053097591
KULRIT_clean.cif,16.50429053,5.77122,3.51795,0.281259,1.4748,947.331,0.581178,-0.703554206,-6.73754891,-7.387216143,-6.764471553,-7.723538196,-7.241845378,-6.591760035,-7.844663963,-7.336299075,-7.367542708,-7.623423043,-7.59345982,-7.308034897,56.26446912,0.015666832
WEMNAF_clean.cif,29.34193873,4.39002,3.79329,0.103926,1.41831,395.615,0.365774,1.004364371,-8.607303047,-8.251037139,-9.104025268,-8.522878745,-9.088842391,-8.059483515,-8.190440285,-7.353596274,-8.202732459,-8.129596095,-8.931814138,-7.399027104,56.26296179,0.030970511
JEBCOJ_clean.cif,23.51511496,7.20433,5.2093,0.126636,1.89362,373.32,0.316399,-1.041336274,-8.368556231,-8.408935393,-9.063989204,-8.324221658,-8.946921557,-7.511449283,-8.675717545,-8.841637508,-8.89279003,-8.754487332,-8.235077015,-7.42945706,56.25862289,0.027334043
LAZKUU_clean.cif,43.33678961,6.57793,4.04974,0.314113,0.996458,1223.65,0.51201,-1.26806893,-7.742321425,-8.096910013,-7.774690718,-7.455931956,-8.239577517,-6.931814138,-8.367542708,-8.630784143,-8.590066877,-6.642065153,-8.427128398,-9.105130343,56.25141712,0.050634406
Cd3BTB2.cif,37.98465493,6.83209,4.16928,0.501115,0.971433,2042.56,0.648447,1.991862427,-8.415668776,-8.033389013,-8.382999659,-7.617982957,-8.067019178,-8.379863945,-8.931814138,-8.896196279,-8.643974143,-8.761953897,-8.386158178,-8.041436117,56.22635205,0.062172549
CAXXEG_clean.cif,29.80616859,6.32235,3.78032,0.208871,1.21319,856.977,0.45353,-1.483105176,-7.126098402,-7.386158178,-7.793174124,-7.863279433,-7.705533774,-7.308918508,-8.432973634,-7.450996738,-7.4225082,-8.420216403,-7.663540266,-7.447331784,56.22595479,0.041200002
WAYMEQ_clean.cif,36.29933026,6.74998,6.68971,0.463168,0.975024,1452.05,0.693266,0.049419613,-8.35753548,-8.671620397,-7.679853714,-9.020451625,-8.962573502,-9.010105436,-8.474955193,-8.508638306,-9.13076828,-8.924453039,-9.49757288,-8.168130226,56.22572957,0.073780151
LAVTEJ_clean.cif,4.38908327,6.70572,6.47199,0.283689,1.58977,874.002,0.597289,1.965579838,-8.225483034,-7.754487332,-8.53313238,-7.694648631,-7.243363892,-8.982966661,-7.920818754,-8.519993057,-8.420216403,-8.655607726,-8.510041521,-9.030584088,56.21930549,0.017838662
CENPUI_clean.cif,33.76761213,6.13814,3.83084,0.286228,0.999903,874.072,0.479103,2.368100852,-8.216096421,-8.326058001,-8.478861916,-8.317854924,-7.777283529,-8.777283529,-8.705533774,-9.534617149,-8.675717545,-8.714442691,-8.158015195,-8.554395797,56.21681073,0.026132717
GOGWAB_clean.cif,48.81534626,4.75705,3.92524,0.465188,1.0628,1700.77,0.620891,-0.823202863,-8.235077015,-8.140861703,-7.257274869,-7.55129368,-7.578396073,-8.179142011,-8.442492798,-8.104025268,-7.903089987,-8.369572125,-8.920818754,-8.075204004,56.21274226,0.045396523
COWMIL_clean.cif,9.204565069,6.87627,5.44252,0.426259,1.23822,1515.55,0.63264,9.146128036,-8.91721463,-8.602059991,-7.511449283,-8.322393047,-8.742321425,-8.090979146,-8.675717545,-9.126098402,-9.156767222,-7.821023053,-8.747146969,-9.167491087,56.17646551,0.033746289
BEPPAP_clean.cif,15.29308352,9.34778,9.27688,0.355907,1.03173,1046.81,0.431924,-1.635968968,-7.11463878,-7.557520231,-8.168770306,-8.806875402,-8.48148606,-8.651695137,-9.119758224,-8.321481621,-8.42136079,-9.184422252,-8.982966661,-9.262012674,56.1675479,0.053811722
MARXEK_clean.cif,20.73056302,6.54326,6.30299,0.26576,1.6895,794.454,0.606702,-1.548878559,-8.27572413,-7.517126416,-7.031517051,-7.742321425,-8.790484985,-7.382999659,-8.46470588,-7.924453039,-8.677780705,-8.723538196,-8.728158393,-8.457174573,56.14955666,0.030712127
SADLOA_clean.cif,28.68448639,6.87241,6.60872,0.289252,1.5426,878.964,0.609285,-2.933100365,-6.460923901,-8.690369833,-7.13076828,-8.065501549,-7.540607512,-7.417936637,-7.732828272,-6.787812396,-7.591760035,-7.256490235,-8.097453221,-7.8569852,56.1488345,0.047574858
JITPOS_clean.cif,10.65569186,5.87048,4.70303,0.142143,1.43517,585.085,0.362417,1.291936881,-7.388276692,-6.785156152,-8.563837353,-8.044793462,-6.701146924,-8.280668713,-8.166215625,-7.920818754,-6.785156152,-7.804100348,-8.219682688,-8.353596274,56.13943436,0.02021675
YUXQOY_clean.cif,42.4054151,7.94926,5.34902,0.615309,0.879883,2233.58,0.687002,-1.91082639,-8.185086819,-7.578396073,-6.517126416,-7.850780887,-6.761953897,-8.494850022,-7.630784143,-6.782516056,-7.515700161,-7.716698771,-9.966576245,-8.542118103,56.11416044,0.058886056
ADOBOL_clean.cif,19.71438153,5.64563,3.81414,0.059085,1.71617,189.253,0.285146,-1.253826023,-7.879426069,-8.554395797,-7.696803943,-8.534617149,-8.4710833,-9.053056729,-8.575118363,-8.815308569,-8.882728704,-9.040958608,-9.42136079,-9.306273051,56.09628056,0.035716408
NIGFUF_clean.cif,49.4228368,7.29743,4.57761,0.467989,1.23037,1854.39,0.716404,11.26007139,-7.364516253,-7.876148359,-7.946921557,-8.2915791,-7.913640169,-8.343901798,-7.089909454,-8.53313238,-8.159893906,-7.903089987,-9.879426069,-8.327902142,56.08163701,0.049625523
LESWAI_clean.cif,4.398550237,5.45315,4.05851,0.189896,1.41973,660.716,0.433743,0.745604058,-7.752026734,-8.209714836,-9.020451625,-8.659555885,-8.289882635,-8.096367484,-8.034328029,-7.886056648,-8.142064735,-7.73754891,-8.787812396,-8.739928612,56.04135527,0.012601291
NEHZIK_clean.cif,14.14015234,7.4772,4.62863,0.245696,1.20148,912.979,0.39359,-2.452667196,-6.723538196,-7.224025669,-8.070581074,-6.619788758,-7.974694135,-8.001304842,-8.284832642,-7.031984286,-7.057000407,-8.301029996,-7.886056648,-6.869666232,56.03125344,0.050832773
XILVIZ_clean.cif,26.7008468,7.84155,4.67444,0.565547,0.848736,2210.13,0.66321,-2.087131501,-8.299296283,-7.707743929,-8.40560745,-7.335358024,-8.36552273,-8.903089987,-8.476253533,-8.540607512,-7.12090412,-8.148741651,-8.924453039,-7.378823718,56.01032464,0.074389266
ACODED.cif,24.04786734,6.27961,3.51034,0.243576,1.13147,908.897,0.50689,-1.042952821,-7.70333481,-8.142064735,-8.4710833,-8.920818754,-8.525783736,-8.119758224,-8.096367484,-8.351639989,-8.568636236,-8.705533774,-7.054531415,-7.806875402,55.98681648,0.024922425
NIGGEQ_clean.cif,39.73198994,7.20909,4.5995,0.461251,1.24921,1842.19,0.714542,10.49554434,-8.440093375,-7.165579296,-5.928117993,-8.443697499,-7.628932138,-8.145086978,-7.774690718,-8.278189385,-8.148130399,-8.149353765,-9.71219827,-8.208309351,55.98475043,0.03906674
UJAQUS_clean.cif,20.30110148,6.89158,5.84325,0.490044,0.989707,1767.27,0.657229,1.968383937,-8.048176965,-7.28567024,-6.772113295,-7.131943638,-7.690369833,-7.515700161,-6.954677021,-7.872895202,-7.36552273,-7.251811973,-9.565431096,-7.484126156,55.98452204,0.01929708
NIKDAM_clean.cif,37.21907254,7.96983,7.1849,0.410492,0.958363,1292.86,0.522295,1.609398025,-7.023191663,-8.099632871,-7.91721463,-8.677780705,-7.563837353,-6.876148359,-6.539102157,-7.692503962,-7.991399828,-7.721246399,-8.847711656,-8.437707136,55.97794381,0.062842196
SEHSOO_clean.cif,21.77671903,5.43928,4.52795,0.360211,1.35698,1349.74,0.644899,4.911602865,-9.126098402,-8.701146924,-8.718966633,-8.49757288,-7.197226275,-9.037157319,-9.033389013,-8.436518915,-8.14327111,-8.159893906,-10.12842706,-8.373659633,55.96781217,0.02737781
REGREC_clean.cif,53.42562132,7.69448,6.41307,0.696925,0.899667,2516.22,0.748173,1.100515286,-7.560667306,-7.220403509,-7.530177984,-7.655607726,-8.53313238,-7.208309351,-7.818156412,-7.8569852,-8.148741651,-7.876148359,-9.806875402,-8.334419009,55.96583836,0.079202618
KINFEU_clean.cif,14.00357735,7.6447,5.05559,0.270778,1.46024,903.728,0.576629,4.63040143,-8.099632871,-8.829738285,-8.653647026,-8.832682665,-8.270025714,-8.663540266,-9.103473783,-9.049635146,-8.769551079,-8.588380294,-8.872895202,-8.692503962,55.95650878,0.027395547
VOCXUH_clean.cif,56.89648089,7.5163,4.56448,0.75479,0.767101,2849.84,0.72854,-0.436968868,-6.387216143,-7.565431096,-8.036212173,-8.192464972,-7.818156412,-7.812479279,-7.88941029,-8.282329497,-8.355561411,-8.143875556,-10.06348626,-7.88941029,55.94650861,0.070251631
DARDEH_clean.cif,48.66874428,7.52706,4.25645,0.395264,1.10002,1394.38,0.605458,-2.325042462,-7.092051478,-7.950781977,-7.04431225,-6.896196279,-7.119186408,-7.632644079,-6.869666232,-6.759450752,-7.688246139,-7.769551079,-8.496209317,-7.850780887,55.9336091,0.051312458
CIJVOH01_clean.cif,35.6776076,5.62455,4.07242,0.350952,1.42641,1407.19,0.657015,-2.677466472,-8.19314197,-8.205511953,-7.675717545,-7.928117993,-7.787812396,-7.044793462,-7.896196279,-7.974694135,-8.559090918,-8.377785977,-8.446116973,-7.779891912,55.93079308,0.052636995
VAGTUU_clean.cif,29.83891779,6.29552,3.60836,0.160081,1.19065,566.477,0.532215,1.29646335,-8.772113295,-8.261219442,-9.317854924,-8.222573178,-8.692503962,-8.995678626,-9.04769199,-9.249491605,-8.935542011,-9.100179498,-10.70114692,-9.283996656,55.91702311,0.032849096
GAXKOH_clean.cif,46.21450237,10.4223,9.01732,0.500659,0.959935,1675.06,0.613423,-2.128532732,-6.742321425,-8.222573178,-7.246416941,-7.879426069,-8.130181792,-8.231361899,-8.370590401,-6.612610174,-8.199282922,-6.943095149,-6.818156412,-7.015922966,55.91079228,0.044299038
IJASAO01_clean.cif,32.62418494,6.14834,3.46141,0.212822,1.21698,791.988,0.452264,-0.964686356,-8.301899454,-8.764471553,-7.560667306,-8.571865206,-8.251037139,-7.519993057,-8.227678293,-7.950781977,-7.41453927,-8.36251027,-8.89279003,-7.542118103,55.90557169,0.033400498
CANRUG_clean.cif,23.52475856,6.57804,4.65956,0.363342,0.884567,1641.58,0.582461,1.349662101,-6.782516056,-7.761953897,-7.721246399,-8.018634491,-7.928117993,-8.361510743,-8.408935393,-8.139063379,-8.135488919,-8.26760624,-8.133122186,-7.769551079,55.89234071,0.028002017
CIWYUD_clean.cif,10.21553605,6.98662,4.54599,0.265557,1.41213,772.575,0.480396,-0.159597783,-8.910094889,-9.037157319,-9.085128182,-8.4710833,-8.838631998,-7.462180905,-8.310691141,-8.841637508,-9.26520017,-9.098541679,-9.260427656,-9.03574037,55.88372983,0.023876286
WEBREC_clean.cif,30.64645196,5.5065,3.37148,0.161523,1.22212,559.779,0.372248,-1.003059061,-7.021363052,-8.193820026,-8.106238238,-8.772113295,-8.059483515,-7.051587034,-8.218244625,-8.450996738,-8.181774106,-7.351639989,-10.02641038,-7.210419288,55.87351061,0.032953082
IXUREZ_clean.cif,26.02587272,5.62309,3.53426,0.20934,1.16939,857.455,0.479274,-1.373291203,-8.645891561,-9.112945622,-7.477555766,-9.446116973,-7.15739076,-7.496209317,-6.607303047,-7.581698709,-9.016824928,-8.761953897,-8.356547324,-7.460923901,55.84295782,0.045298019
BEXPAX_clean.cif,45.58162974,6.17717,5.82599,0.836305,0.749009,4155.96,0.769955,-2.232157971,-7.675717545,-7.453457337,-5.48148606,-7.853871964,-7.164309429,-7.649751982,-7.332547047,-6.754487332,-7.449771647,-7.605548319,-7.619788758,-8.539102157,55.82511935,0.080602075
XAJQAC_clean.cif,52.65766089,8.73761,7.41664,0.550457,0.885082,1996.26,0.727471,-1.760330214,-8.70333481,-8.361510743,-8.804100348,-7.701146924,-7.079354999,-8.795880017,-9.063989204,-9.126679398,-9.121478204,-9.13430394,-10.2798407,-9.288192771,55.82379915,0.082968822
QOMFAA_clean.cif,24.76894053,5.59692,4.20957,0.352708,1.08192,1028.69,0.520637,-1.069741909,-8.066512712,-5.896196279,-7.214670165,-7.928117993,-5.924453039,-8.649751982,-7.455931956,-8.638272164,-8.199282922,-8.603800653,-8.227678293,-7.761953897,55.81881656,0.03723872
PIHWAG_clean.cif,9.324422479,8.33987,7.70535,0.322298,1.26901,1020.11,0.520444,1.486841199,-8.844663963,-8.573488739,-7.818156412,-7.752026734,-8.675717545,-9.11407366,-8.08249449,-9.09420412,-7.327902142,-8.444905551,-10.66756154,-8.002613616,55.81154295,0.024014341
PAKXIK_clean.cif,20.38408726,5.41756,3.96817,0.250723,1.25158,901.156,0.480443,2.381306453,-8.850780887,-8.424812155,-9.080921908,-7.27083521,-8.744727495,-6.93930216,-8.178486472,-7.924453039,-8.203425667,-8.213248578,-10.31247104,-8.425968732,55.77023339,0.015952447
PIDMEV_clean.cif,16.51477291,7.95997,4.06461,0.399002,1.03258,1474.91,0.579514,-1.188264174,-7.473660723,-8.804100348,-8.966576245,-8.595166283,-8.886056648,-8.954677021,-8.404503778,-8.4867824,-8.829738285,-9.30980392,-10.627088,-8.853871964,55.76096287,0.046925516
ALIXOJ_clean.cif,60.04798147,7.79386,4.84092,0.48049,0.979833,1877.78,0.618085,-1.573386277,-6.014573526,-7.48945499,-7.411168274,-7.623423043,-7.793174124,-7,-7.73754891,-7.522878745,-7.154281982,-7.367542708,-7.607303047,-7.359518563,55.67435839,0.05733167
UKAQIH_clean.cif,41.80005046,7.0082,4.76219,0.368011,1.16844,1236.5,0.59517,0.386450807,-9.279840697,-9.657577319,-9.378823718,-9.590066877,-8.420216403,-7.655607726,-8.590066877,-7.93930216,-9.351639989,-8.585026652,-10.59687948,-8.73754891,55.66752546,0.042264329
AGARUW_clean.cif,5.567814564,6.49619,6.07699,0.189057,1.77195,635.609,0.448926,3.08726663,-8.991399828,-8.769551079,-9.343901798,-8.039529222,-7.248720896,-9.110698297,-8.268411235,-8.958607315,-8.19314197,-8.769551079,-9.065501549,-9.059483515,55.64370961,0.011433634
METYIU_clean.cif,5.831225445,7.46107,4.84151,0.233387,1.31027,845.627,0.395277,-2.20082148,-6.482804102,-6.102372909,-5.924453039,-6.366531544,-6.910094889,-6.754487332,-7.080921908,-7.906578315,-7.396855627,-8.040958608,-7.149353765,-7.460923901,55.64111539,0.013886312
EKOPOK_clean.cif,11.52503219,8.03602,6.94093,0.288365,1.24495,870.986,0.543248,5.515741417,-8.206209615,-9.016373713,-8.759450752,-6.559090918,-8.013228266,-8.730487056,-8.335358024,-9.046723663,-7.71219827,-8.372634143,-7.272458743,-8.370590401,55.63678145,0.015173331
VEDFOB_clean.cif,40.01969362,6.04352,3.77567,0.322627,1.05075,1235.54,0.538989,-1.712321412,-8.13667714,-8.394694954,-8.73754891,-8.089909454,-7.432973634,-7.688246139,-7.920818754,-8.493494968,-8.89279003,-8.119758224,-8.4867824,-8.679853714,55.60452391,0.068279175
GIFKIP_clean.cif,37.94046525,4.49429,4.16679,0.229708,1.26421,777.839,0.362162,-2.144949311,-7.694648631,-7.327902142,-7.20481541,-8.226945307,-8.216096421,-8.195179321,-7.982966661,-8.13667714,-7.89279003,-8.378823718,-8.292429824,-8.603800653,55.59975343,0.041602632
NOHFOG_clean.cif,40.20181255,5.26884,4.26503,0.200434,1.66638,736.979,0.485766,7.130333768,-7.769551079,-8.534617149,-8.300162274,-7.860120914,-8.847711656,-8.525783736,-8.769551079,-8.962573502,-8.663540266,-8.688246139,-10.23732144,-8.391473966,55.59159726,0.032416941
QEVKOS_clean.cif,13.22000792,4.71244,3.52445,0.0867975,1.86641,264.797,0.276332,-1.752815068,-7.628932138,-7.36251027,-8.382999659,-7.860120914,-8.536107011,-7.625251654,-8.428291168,-7.617982957,-7.818156412,-8.073657553,-9.485452247,-7.698970004,55.58927307,0.015200742
XINHOT_clean.cif,3.921929963,5.47209,3.52181,0.122618,1.543,361.029,0.294484,1.340414368,-8.982966661,-9.246416941,-8.325138859,-9.549750892,-8.928117993,-8.655607726,-7.931814138,-9.030118356,-9.014124643,-8.913640169,-10.99139983,-8.112945622,55.552226,0.005015631
NIGGAM_clean.cif,33.1758376,7.28128,4.61349,0.481492,1.22204,1875.96,0.714291,9.283301229,-7.910094889,-7.747146969,-7.728158393,-7.649751982,-7.89279003,-7.345823458,-8.205511953,-7.709965389,-8.072629637,-8.031984286,-9.512861625,-7.809668302,55.54252805,0.053571336
WAMRIN01_clean.cif,21.33299417,6.97478,6.31029,0.439192,0.94264,1473.43,0.624939,0.17926159,-7.966576245,-8.610833916,-9.245651664,-9.003488328,-9.023191663,-8.385102784,-9.072629637,-8.954677021,-8.404503778,-9.050609993,-10.51570016,-9.322393047,55.52881191,0.057742512
TEJLOL_clean.cif,34.94081194,6.48786,4.80498,0.328677,1.25899,1263.37,0.547349,1.973478843,-8.266802735,-7.809668302,-7.508638306,-6.386158178,-8.204119983,-8.153044675,-8.935542011,-8.527243551,-8.431798276,-7.449771647,-10.20204036,-8.206209615,55.52559669,0.03437349
OCACUR_clean.cif,27.87571419,5.3922,4.75063,0.349883,1.25128,1102.48,0.612473,2.11158173,-7.838631998,-8.368556231,-7.335358024,-7.844663963,-8.225483034,-6.804100348,-7.281498311,-6.435333936,-7.935542011,-8.263603498,-9.474955193,-8.183096161,55.5183654,0.020370282
TUTJAU_clean.cif,52.04715201,6.85106,5.07008,0.362771,1.05742,1236.99,0.572444,-0.914627353,-7.463441557,-8.237321436,-8.380906669,-8.308034897,-8.496209317,-7.549750892,-8.408935393,-8.657577319,-7.327902142,-7.756961951,-8.632644079,-8.189095719,55.49340507,0.037577133
OXUPUT_clean.cif,22.64014161,9.84974,8.36753,0.177833,1.93215,515.409,0.497659,14.93751789,-9.450996738,-8.782516056,-8.721246399,-8.970616222,-8.978810701,-8.283996656,-9.446116973,-9.725842151,-9.010105436,-8.749579998,-11.35951856,-8.88941029,55.46374905,0.023288039
PARNON_clean.cif,35.07409208,7.81774,6.19341,0.480792,0.973393,1890.53,0.610628,-3.041436117,-5.374687549,-6.590066877,-7.187086643,-6.474955193,-8.381951903,-7.052566278,-7.035269079,-6.728158393,-8.399027104,-7.508638306,-8.258848401,-8.164943898,55.43688942,0.057582266
IXISOX_clean.cif,7.546441911,5.5699,4.33438,0.154855,1.93342,472.002,0.458064,-0.616960596,-7.559090918,-6.119758224,-7.007446482,-7.507239611,-7.385102784,-7.982966661,-8.145086978,-8.040005162,-7.749579998,-8.501689446,-8.27572413,-7.159266765,55.43062624,0.008585666
IXURID_clean.cif,68.9886929,5.47549,3.75034,0.297944,1.15055,1100.31,0.514682,-1.376098723,-7.127261173,-8.640164518,-9.031050319,-8.787812396,-8.194499142,-8.166215625,-6.869666232,-6.910094889,-8.777283529,-7.562249437,-8.435333936,-7.991399828,55.42073877,0.050082458
INIRAY_clean.cif,31.17372976,6.63677,4.78031,0.201205,1.15007,751.836,0.315178,0.27387824,-7.485452247,-8.882728704,-8.821023053,-8.37161107,-8.35753548,-8.474955193,-8.369572125,-8.595166283,-8.559090918,-8.804100348,-8.335358024,-9.517126416,55.41355919,0.039922051
CAYDIR_clean.cif,14.86085741,4.78717,4.59753,0.112951,1.49623,339.786,0.230473,-2.036049343,-6.920818754,-6.468521083,-6.935542011,-7.630784143,-6.287350298,-7.428291168,-7.171340103,-7.68613278,-7.739928612,-7.818156412,-7.823908741,-6.73754891,55.4092414,0.011861885
WEFXIQ_clean.cif,24.05733895,6.83343,4.87671,0.356431,1.06163,1231.34,0.536944,-0.87826621,-7.623423043,-8.047207557,-7.286509457,-7.37161107,-7.467245621,-7.730487056,-7.369572125,-7.806875402,-7.801342913,-7.707743929,-9.427128398,-7.826813732,55.38690177,0.032676228
GINLIA_clean.cif,53.48203948,6.05194,4.2093,0.511209,0.877136,1971.33,0.644059,2.390995127,-7.59345982,-8.214670165,-6.841637508,-8.090979146,-7.928117993,-8.397940009,-8.15864053,-8.016373713,-7.847711656,-8.207608311,-8.249491605,-8.32330639,55.35411435,0.075864558
LUSJIT_clean.cif,27.15436357,5.99379,5.09223,0.276412,1.18953,878.045,0.474678,-1.491460855,-5.728158393,-6.369572125,-7.276544328,-7.554395797,-7.010105436,-7.230622674,-7.13076828,-6.995678626,-8.177831921,-8.11577123,-6.585026652,-7.101274818,55.34863253,0.03448404
JEDJUY_clean.cif,15.11218453,5.00079,4.12668,0.190823,1.66961,698.221,0.487629,8.587710965,-8.399027104,-7.950781977,-8.419075024,-8.995678626,-9.248720896,-9.019542108,-9.245651664,-9.333482019,-8.829738285,-9.436518915,-8.841637508,-9.208309351,55.34487056,0.039166918
OPIWEQ_clean.cif,5.226062169,4.31387,3.49174,0.102468,1.4951,193.165,0.277574,-2.290628263,-8.093126465,-8.111820506,-7.222573178,-7.621602099,-6.70333481,-8.080921908,-7.935542011,-7.671620397,-7.950781977,-8.621602099,-9.696803943,-8.490797478,55.32956181,0.007393054
OKIYIR_clean.cif,26.28792317,4.65625,3.77174,0.104479,1.32658,434.371,0.314598,-0.627481985,-7.48148606,-6.962573502,-6.730487056,-6.943095149,-8.578396073,-7.057000407,-7.88941029,-8.046723663,-8.319664487,-7.970616222,-10.26520017,-7.542118103,55.29791537,0.012936382
