REFCODE,SCP,LCD,PLD,Va,Density,ASA,VF,KH311,300,305,310,315,320,325,330,335,340,345,350,353,adsH,dW
XEKCAT01_clean.cif,25.327458,5.68262,4.79012,0.518537,0.930696,2258.84,0.665093,4.812270794,-7.316052869,-7.844663963,-8.067019178,-8.367542708,-7.048176965,-8.1837587,-7.829738285,-7.966576245,-8.36251027,-8.578396073,-9.910094889,-7.504455662,64.50947752,0.029149314
ABEYAJ_clean.cif,9.054766574,4.69761,3.74654,0.0914811,1.90641,298.954,0.335638,9.230448921,-8.943095149,-8.995678626,-9.129596095,-8.995678626,-8.557520231,-8.548213564,-8.080398976,-8.705533774,-8.91721463,-7.752026734,-9.107348966,-9.401209493,63.92512167,0.012835967
DEFKUU_clean.cif,17.00418333,5.41999,4.17098,0.20606,1.71115,774.706,0.463434,-1.221460953,-7.202732459,-8.010995384,-8.041914151,-8.201349355,-8.139661993,-7.790484985,-7.590066877,-7.411168274,-6.841637508,-8,-8.284832642,-8.707743929,63.89253182,0.016899173
ABEXOW_clean.cif,6.828650653,4.69102,3.85229,0.100197,1.81243,334.94,0.352292,6.056904851,-9.092588639,-9.190440285,-7.844663963,-8.32330639,-7.910094889,-8.149966742,-9.27083521,-9.314258261,-7.517126416,-8.573488739,-9.123782159,-8.420216403,63.68768333,0.011536806
OFESIC_clean.cif,41.81750239,7.36476,5.24163,0.135648,1.82236,410.938,0.318346,-1.085540482,-7.184422252,-8.364516253,-7.987162775,-8.913640169,-7.374687549,-8.866461092,-9.42136079,-9.092051478,-7.718966633,-7.882728704,-9.692503962,-9.088842391,63.56826324,0.030950568
KOFPEB03_clean.cif,7.856990304,7.32397,5.11399,0.138858,1.7716,426.647,0.323686,-1.221369842,-7.943095149,-8.496209317,-9.007004902,-8.19314197,-7.576754126,-7.126679398,-8.302770657,-7.779891912,-7.958607315,-8.88941029,-8.882728704,-8.188424994,63.46459584,0.020636794
HICVOG_clean.cif,11.49380969,4.77937,4.22935,0.219506,1.25646,672.416,0.518363,0.71894738,-6.382999659,-7.714442691,-8.025028006,-6.669586227,-8.073143291,-7.879426069,-7.119186408,-7.749579998,-6.565431096,-7.790484985,-7.30980392,-8.261219442,63.39082748,0.016095245
GIQXOU_clean.cif,4.8649332,4.53296,3.42927,0.173405,1.85808,466.252,0.48196,2.934185748,-8.66756154,-8.610833916,-8.490797478,-8.627087997,-8.315154638,-8.458420756,-8.368556231,-9.341035157,-8.995678626,-8.474955193,-8.966576245,-8.826813732,63.32728685,0.013502808
KOFPEB02_clean.cif,15.37593844,7.34058,5.07668,0.139768,1.77151,431.502,0.324461,-1.11445334,-8.527243551,-8.195179321,-4.946921557,-8.928117993,-8.503070352,-8.764471553,-8.07007044,-8.89279003,-8.440093375,-8.634512015,-7.548213564,-7.156767222,63.17187788,0.019839004
NAKLIW_clean.cif,15.95575134,4.72166,3.9075,0.249683,1.15907,965.981,0.545262,5.152147635,-8.281498311,-8.512861625,-8.653647026,-7.725842151,-8.578396073,-8.647817482,-7.769551079,-8.585026652,-8.623423043,-8.455931956,-9.821023053,-8.188424994,62.85416374,0.026422517
SADLEQ_clean.cif,7.7646426,6.91369,6.6967,0.302717,1.50504,920.261,0.614586,1.961847585,-8.528708289,-7.705533774,-8.614393726,-8.316952962,-8.732828272,-7.245651664,-7.394694954,-8.171984936,-8.178486472,-8.555955204,-10.4225082,-7.181774106,62.70551024,0.011533269
DEPXIG_clean.cif,10.80796754,5.32495,4.20541,0.255077,1.21453,978.673,0.513953,1.992510661,-8.359518563,-7.841637508,-9.468521083,-8.732828272,-8.876148359,-9.351639989,-7.779891912,-8.793174124,-8.465973894,-9.001304842,-9.098541679,-8.209714836,62.50809815,0.019326679
